Method|ThreadCount|BlobName|SizeMB|Mbps|MilliSec
SyncCopy | 4 | 001MB/File02.dat | 1.0 | 4.53 | 1766.00
SyncCopy | 4 | 001MB/File03.dat | 1.0 | 4.33 | 1847.77
SyncCopy | 4 | 001MB/File00.dat | 1.0 | 4.09 | 1955.22
SyncCopy | 4 | 001MB/File01.dat | 1.0 | 3.26 | 2450.32
SyncCopy | 4 | 001MB/File04.dat | 1.0 | 9.31 | 859.20
SyncCopy | 4 | 001MB/File06.dat | 1.0 | 8.31 | 962.34
SyncCopy | 4 | 001MB/File07.dat | 1.0 | 10.14 | 788.89
SyncCopy | 4 | 001MB/File05.dat | 1.0 | 5.75 | 1391.50
SyncCopy | 4 | 001MB/File08.dat | 1.0 | 9.25 | 864.58
SyncCopy | 4 | 001MB/File09.dat | 1.0 | 8.73 | 916.90
SyncCopy | 4 | 010MB/File03.dat | 10.0 | 24.98 | 3202.73
SyncCopy | 4 | 010MB/File02.dat | 10.0 | 15.21 | 5259.78
SyncCopy | 4 | 010MB/File01.dat | 10.0 | 10.24 | 7809.61
SyncCopy | 4 | 010MB/File00.dat | 10.0 | 8.46 | 9458.29
SyncCopy | 4 | 010MB/File04.dat | 10.0 | 12.35 | 6480.21
SyncCopy | 4 | 010MB/File06.dat | 10.0 | 10.21 | 7834.19
SyncCopy | 4 | 010MB/File05.dat | 10.0 | 6.89 | 11603.33
SyncCopy | 4 | 010MB/File08.dat | 10.0 | 9.97 | 8021.56
SyncCopy | 4 | 010MB/File07.dat | 10.0 | 6.17 | 12970.35
SyncCopy | 4 | 010MB/File09.dat | 10.0 | 6.26 | 12779.30
SyncCopy | 4 | 100MB/File01.dat | 100.0 | 44.66 | 17914.10
SyncCopy | 4 | 100MB/File02.dat | 100.0 | 55.14 | 14509.54
SyncCopy | 4 | 100MB/File00.dat | 100.0 | 38.41 | 20827.89
SyncCopy | 4 | 100MB/File03.dat | 100.0 | 39.02 | 20501.22
SyncCopy | 4 | 100MB/File04.dat | 100.0 | 42.40 | 18867.70
SyncCopy | 4 | 100MB/File06.dat | 100.0 | 41.03 | 19498.51
SyncCopy | 4 | 100MB/File05.dat | 100.0 | 38.25 | 20916.59
SyncCopy | 4 | 100MB/File07.dat | 100.0 | 44.61 | 17932.96
SyncCopy | 4 | 100MB/File08.dat | 100.0 | 49.50 | 16160.82
SyncCopy | 4 | 100MB/File09.dat | 100.0 | 54.74 | 14614.39
SyncCopy-Total | 4 | 30 blobs | 1110.0 | 117.79 | 00:01:15.3885837
ServiceSideSyncCopy | 4 | 001MB/File02.dat | 1.0 | 5.07 | 1577.59
ServiceSideSyncCopy | 4 | 001MB/File03.dat | 1.0 | 4.82 | 1660.27
ServiceSideSyncCopy | 4 | 001MB/File01.dat | 1.0 | 4.55 | 1757.65
ServiceSideSyncCopy | 4 | 001MB/File04.dat | 1.0 | 11.02 | 725.70
ServiceSideSyncCopy | 4 | 001MB/File05.dat | 1.0 | 11.05 | 724.25
ServiceSideSyncCopy | 4 | 001MB/File06.dat | 1.0 | 12.56 | 637.18
ServiceSideSyncCopy | 4 | 001MB/File00.dat | 1.0 | 3.19 | 2508.52
ServiceSideSyncCopy | 4 | 001MB/File08.dat | 1.0 | 10.18 | 786.02
ServiceSideSyncCopy | 4 | 001MB/File09.dat | 1.0 | 9.10 | 879.12
ServiceSideSyncCopy | 4 | 001MB/File07.dat | 1.0 | 4.27 | 1874.72
ServiceSideSyncCopy | 4 | 010MB/File00.dat | 10.0 | 44.98 | 1778.52
ServiceSideSyncCopy | 4 | 010MB/File01.dat | 10.0 | 25.26 | 3166.64
ServiceSideSyncCopy | 4 | 010MB/File02.dat | 10.0 | 23.25 | 3440.39
ServiceSideSyncCopy | 4 | 010MB/File03.dat | 10.0 | 15.27 | 5240.36
ServiceSideSyncCopy | 4 | 010MB/File05.dat | 10.0 | 25.82 | 3098.91
ServiceSideSyncCopy | 4 | 010MB/File04.dat | 10.0 | 12.21 | 6554.00
ServiceSideSyncCopy | 4 | 010MB/File06.dat | 10.0 | 18.57 | 4307.28
ServiceSideSyncCopy | 4 | 010MB/File08.dat | 10.0 | 29.44 | 2717.83
ServiceSideSyncCopy | 4 | 010MB/File09.dat | 10.0 | 13.55 | 5905.36
ServiceSideSyncCopy | 4 | 010MB/File07.dat | 10.0 | 10.17 | 7864.35
ServiceSideSyncCopy | 4 | 100MB/File00.dat | 100.0 | 109.55 | 7302.58
ServiceSideSyncCopy | 4 | 100MB/File01.dat | 100.0 | 108.35 | 7383.58
ServiceSideSyncCopy | 4 | 100MB/File03.dat | 100.0 | 144.65 | 5530.55
ServiceSideSyncCopy | 4 | 100MB/File02.dat | 100.0 | 111.21 | 7193.83
ServiceSideSyncCopy | 4 | 100MB/File05.dat | 100.0 | 144.62 | 5531.85
ServiceSideSyncCopy | 4 | 100MB/File04.dat | 100.0 | 106.54 | 7509.26
ServiceSideSyncCopy | 4 | 100MB/File06.dat | 100.0 | 101.36 | 7892.64
ServiceSideSyncCopy | 4 | 100MB/File09.dat | 100.0 | 137.38 | 5823.15
ServiceSideSyncCopy | 4 | 100MB/File07.dat | 100.0 | 96.80 | 8264.21
ServiceSideSyncCopy | 4 | 100MB/File08.dat | 100.0 | 97.00 | 8247.28
ServiceSideSyncCopy-Total | 4 | 30 blobs | 1110.0 | 265.75 | 00:00:33.4153176
ServiceSideAsyncCopy | 4 | 001MB/File02.dat | 1.0 | 4.79 | 1668.91
